Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual Output (v1.0)),Custom field (Actual Output (v1.1)),Custom field (Development),Custom field (Expected Output),Custom field (Expected outcome),Custom field (Function Being Tested),Custom field (Initial System State),Custom field (Input),Custom field (Issue color),Custom field (Minh),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Test case),Custom field (Vulnerability),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Receipt: Card number on receipt is incorrect,CRM-24,10087,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,26/Jan/26 4:01 PM,29/Jan/26 7:29 PM,28/Jan/26 9:48 PM,28/Jan/26 9:57 PM,,0,"*Function being tested:*

Any Transaction

When a a receipt is printed after a transaction is finished, the card number shown on the receipt is one higher than the actual card number. (card #1 shows as card #2)

*Initial state of the system:*

The ATM is ON

System on any transaction screen

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42, or card 2 pin 1234
# Choose any transaction type
# Choose any valid option for the selected transaction type.

*Expected outcome:*

The receipt should be should show the card number used. Ie. #1 for card #1, #2 for card #2

*Actual outcome:*

The receipt shows the card number as one higher than the actual card number . Ie. #2 for card #1, #3 for card #2

The card number shown in ATM log is correct, it is just the receipt.

*Priority of the bug:*

Medium

*Version of the app:*

1.0

Note: Defect bug is still in version 1.1",,Minh Le,Thanoshan MV,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,0|i00027:,,,,,29/Jan/26 7:29 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,28/Jan/26 9:57 PM
Authentication: Correct PIN has to entered twice after entering incorrect PIN,CRM-22,10085,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,26/Jan/26 3:44 PM,29/Jan/26 7:29 PM,28/Jan/26 9:48 PM,28/Jan/26 9:48 PM,,0,"*Function being tested:*

Anytime a wrong PIN is entered, it take the two consecutive attempts of entering the correct PIN before the ATM proceeds to access the card

*Initial state of the system:*

System has just been turned ON

*Steps to reproduce:*

# Turn ON ATM, and insert valid number of bills.
# Insert a Card, and enter an incorrect PIN.
# Machine reads ""PIN was incorrect, Please re-enter your PIN"".
# Enter correct PIN.
# Machine prompts user to enter PIN again.

*Expected outcome:*

ATM should grant access to card once the correct PIN has been entered

*Actual outcome:*

ATM request for the correct PIN for a second time before granting access to card

*Priority of the bug:*

Medium

*Version of the app:*

1.0

Note: defect bug is still in version 1.1",,Minh Le,Thanoshan MV,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,0|i0001z:,,,,,29/Jan/26 7:29 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,28/Jan/26 9:48 PM
System accepts $0.00 transfer and updates balance incorrectly,CRM-57,10217,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Highest,Done,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,29/Jan/26 3:00 PM,29/Jan/26 4:10 PM,06/Feb/26 12:24 PM,29/Jan/26 4:09 PM,,0,"*Function being tested:* Transfer / Input Validation / Balance Calculation

*Initial state of the system:* Logged in with Card 1 (PIN 42).

# *Steps to reproduce:*
# Select *Transfer* transaction.
# Select *Checking* (From) to *Savings* (To).
# Enter amount: {{0}} (or {{0.00}}).
# Press *Enter*.
# Observe the printed receipt and the final account balance.

*Expected outcome:*

# System should reject the transaction with ""Amount must be > $0.00"".
# OR, if accepted, the transfer should be exactly $0.00 with no side effects on the total balance (other than a potential valid transaction fee, if applicable).

*Actual outcome:*

# System accepts the $0.00 input.
# The transaction is marked as SUCCESS in the logs.
# The resulting balance/receipt shows an incorrect value (as seen in the screenshot), indicating a calculation error during the zero-value handling.

*Priority:* Highest (Financial Calculation Error)

*Version:* 1.0",,Shuvam Agarwala,,712020:597df801-3295-4a18-ae1f-756fbc00844d,,,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,,,"29/Jan/26 4:10 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;Regression Testing (v1.1): The defect was resolved. The system continues to accept $0.00 transfers and updated balance correctly.""",,,,,Done,29/Jan/26 4:09 PM
ATM accepts invalid transfer amount of $0.00,CRM-56,10216,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,29/Jan/26 2:50 PM,29/Jan/26 4:03 PM,,29/Jan/26 4:03 PM,,0,"*Function being tested:* Transfer / Input Validation

*Initial state of the system:* Logged in with Card 1 (PIN 42).

*Steps to reproduce:*

# Select *Transfer* transaction.
# Select *Checking* as the ""From"" account.
# Select *Savings* as the ""To"" account.
# Enter amount: {{0}} (or {{0.00}}).
# Press *Enter*.

*Expected outcome:* System should display an error message (e.g., ""Amount must be greater than $0.00"") and ask for re-entry.

*Actual outcome:* System accepts the $0.00 amount, completes the transaction, and prints a receipt for a $0.00 transfer.

*Priority:* Medium

*Version:* 1.0

!Screenshot 2026-01-29 at 2.51.17 PM.png|width=682,alt=""Screenshot 2026-01-29 at 2.51.17 PM.png""!",,Shuvam Agarwala,,712020:597df801-3295-4a18-ae1f-756fbc00844d,,,,,,,,,,29/Jan/26 2:51 PM;ug:2ffc7b7a-705f-4d20-99d8-0eddfa703b04;Screenshot 2026-01-29 at 2.51.17 PM.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10143,,,,,,,,,,,,,0|i0008f:,,,,,29/Jan/26 4:03 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;Regression Testing (v1.1): The defect still exists. The system continues to accept $0.00 transfers and displays incorrect receipt data.,,,,,Done,29/Jan/26 4:03 PM
Global Transaction Counter Persistence: Transaction number counter does not reset between different user sessions,CRM-55,10215,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Low,Done,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,29/Jan/26 2:28 PM,06/Feb/26 12:24 PM,06/Feb/26 12:24 PM,29/Jan/26 4:13 PM,,0,"*Function being tested:* Session Management / Transaction Logging

*Initial state of the system:* ATM is ON.

*Steps to reproduce:*

# Insert *Card 1* and perform a valid transaction (e.g., Withdrawal).
# Observe the receipt (e.g., ""TRANS # 1"").
# Complete the session and eject Card 1.
# Insert *Card 2* immediately after.
# Perform a valid transaction.

*Expected outcome:* Since this is a new customer session, the receipt should likely indicate ""Transaction #1"" for _this specific customer's_ session (or the system should explicitly distinguish between Machine Sequence Number and Session Transaction Number).

*Actual outcome:* The receipt shows ""TRANS # 2"" (or the next sequential number from the previous user). The transaction counter is global and persists across different authenticated users.

*Priority:* Low (Usability/Logging confusion)

*Version:* 1.0

!Screenshot 2026-01-29 at 2.30.46 PM.png|width=682,alt=""Screenshot 2026-01-29 at 2.30.46 PM.png""!

!Screenshot 2026-01-29 at 2.33.58 PM.png|width=682,alt=""Screenshot 2026-01-29 at 2.33.58 PM.png""!",,Shuvam Agarwala,,712020:597df801-3295-4a18-ae1f-756fbc00844d,,,,,,,,,,29/Jan/26 2:34 PM;ug:2ffc7b7a-705f-4d20-99d8-0eddfa703b04;Screenshot 2026-01-29 at 2.30.46 PM.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10142,29/Jan/26 2:34 PM;ug:2ffc7b7a-705f-4d20-99d8-0eddfa703b04;Screenshot 2026-01-29 at 2.33.58 PM.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10141,,,,,,,,,,,,0|i00087:,,,,,29/Jan/26 4:15 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;Regression Testing (v1.1): The defect still exists. The system continues the transaction number counter does not reset between different card sessions,,,,,Done,29/Jan/26 4:13 PM
Transaction number increments for invalid account transactions.,CRM-54,10214,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Low,Done,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,29/Jan/26 2:22 PM,29/Jan/26 4:13 PM,06/Feb/26 12:23 PM,29/Jan/26 4:12 PM,,0,"*Function being tested:* Transaction Logging / Session Management

*Initial state of the system:* Logged in with any Card and its PIN.

*Steps to reproduce:*

# Perform a transaction (e.g., Withdrawal or Transfer) using the ""Savings"" account (which is invalid for Card 12).
# System displays an error or fails to update the balance (as expected).
# Perform a valid transaction or check the ATM Log.
# Observe the ""TRANS #"" (Transaction Number).

*Expected outcome:* The failed/invalid attempt should not increment the official Transaction Number counter.

*Actual outcome:* The transaction number increments even though the transaction was invalid and no balance was updated.

*Priority:* Low (Logging/Auditing issue)

*Version:* 1.0",,Shuvam Agarwala,,712020:597df801-3295-4a18-ae1f-756fbc00844d,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,29/Jan/26 4:13 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;Regression Testing (v1.1): The defect still exists. The system continues to increment transaction numbers for invalid account transactions.,,,,,Done,29/Jan/26 4:12 PM
No log for ATM Startup,CRM-30,10093,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Zohara Kamal,608be8ab33d52500693e0658,Zohara Kamal,608be8ab33d52500693e0658,26/Jan/26 4:32 PM,29/Jan/26 4:22 PM,29/Jan/26 4:11 PM,29/Jan/26 4:20 PM,,0,"*Function being tested:*

System Startup

No log for startup showing Connection to the bank is established.



*Initial state of the system:*

System has just been turned ON.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills.
# Insert a valid Card, and enter PIN.
# After the ATM has accepted the card, Click on ""Show Log"".

*Expected outcome:*

System Log should demonstrate that a connection has been established to the Bank.

*Actual outcome:*

Log displays no notification that the ATM established a connection to the bank

*Priority of the bug:*

Medium

*Version of the app:*

1.0",,Shuvam Agarwala,Zohara Kamal,712020:597df801-3295-4a18-ae1f-756fbc00844d,608be8ab33d52500693e0658,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,29/Jan/26 3:39 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;This bug is also found in Task 2 for the test case 3,29/Jan/26 4:22 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;Defect still exists in version 1.1,,,,Done,29/Jan/26 4:20 PM
ATM asks for PIN for an invalid card,CRM-26,10089,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Shuvam Agarwala,712020:597df801-3295-4a18-ae1f-756fbc00844d,Zohara Kamal,608be8ab33d52500693e0658,Zohara Kamal,608be8ab33d52500693e0658,26/Jan/26 4:11 PM,29/Jan/26 4:22 PM,28/Jan/26 9:39 PM,29/Jan/26 4:22 PM,,0,"*Function being tested:*

When an invalid card is inserted into ATM, the ATM still asks for PIN number 

*Initial state of the system:*

ATM is on and waiting for user to insert card 

*Steps to reproduce:*

# Turn ON ATM and enter a valid number of bills.

# Insert an invalid card

*Expected outcome:*

A Failure Message saying ""Invalid Card"" as soon as card is inserted

*Actual outcome:*

The ATM asks the user for PIN, after an arbitrary PIN is entered, the ATM displays invalid card. 

*Priority of the bug:*

 Medium

*Version of the app:*

1.0

Note: Defect still exists in version 1.1",,Shuvam Agarwala,Zohara Kamal,712020:597df801-3295-4a18-ae1f-756fbc00844d,608be8ab33d52500693e0658,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,29/Jan/26 3:37 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;This bug is also found in Task 2 for the test case 6.,29/Jan/26 4:22 PM;712020:597df801-3295-4a18-ae1f-756fbc00844d;Defect still exists in version 1.1,,,,Done,29/Jan/26 4:22 PM
Invalid PIN Extension: Correct PIN has to entered twice after entering incorrect PIN twice,CRM-44,10139,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,27/Jan/26 8:52 PM,29/Jan/26 7:25 PM,29/Jan/26 12:31 PM,29/Jan/26 7:25 PM,,0,"MST

*Function being tested:*

Correct PIN in entered *after two consecutive attempts of incorrect PIN*. Then, it take the two consecutive attempts of entering the correct PIN before the ATM proceeds to access the card

*Initial state of the system:*

System has just been turned ON

*Steps to reproduce:*

# Turn ON ATM, and insert valid number of bills.
# Insert a Card, and enter an incorrect PIN.
# Machine reads ""PIN was incorrect, Please re-enter your PIN"".
# Enter incorrect PIN.
# Machine reads ""PIN was incorrect, Please re-enter your PIN"".
# Enter correct PIN.
# Machine prompts user to enter PIN again.
# Enter correct PIN
# Successful transaction

*Expected outcome:*

ATM should grant access to card once the correct PIN has been entered

*Actual outcome:*

ATM request for the correct PIN for a second time before granting access to card

*Priority of the bug:*

Medium

*Version of the app:*

1.0",,Thanoshan MV,,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,29/Jan/26 7:25 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,29/Jan/26 7:25 PM
Deposit: Can't deposit money to Money Market,CRM-40,10103,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,High,Done,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,26/Jan/26 5:28 PM,29/Jan/26 7:23 PM,29/Jan/26 12:30 PM,29/Jan/26 7:23 PM,,0,"*Function being tested:*

Deposit

User tries to deposit the money to “Money Market” account

*Initial state of the system:*

ATM is ON

System displays list of accounts to deposit and the user deposits certain amount

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42 (note: for the other card, it is working)
# Select “Deposit” transaction type
# Select “Money Market” for Account to deposit to
# Enter any amount to deposit

*Expected outcome:*

Money is deposited

*Actual outcome:*

Invalid account type

*Priority of the bug:*

High

*Version of the app:*

1.0

!image-20260127-002921.png|width=483,alt=""image-20260127-002921.png""!",,Thanoshan MV,,6003fc78c22477006872ac2b,,,,,,,,,,26/Jan/26 5:31 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260127-002921.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10040,,,,,,,,,,,,,0|i0005j:,,,,,29/Jan/26 7:23 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,29/Jan/26 7:23 PM
Transfer: transfer money from checking to savings account,CRM-21,10052,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,25/Jan/26 8:30 PM,29/Jan/26 7:21 PM,06/Feb/26 12:22 PM,29/Jan/26 7:21 PM,,0,"*Function being tested:*

Transfer

System asks customer to choose an account to transfer to, and the system performs the transaction

*Initial state of the system:*

Menu of account types to transfer from is being displayed

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 2 and enter the PIN as 1234
# Go to “Transfer”
# Select “Account to transfer from” as “Checking”
# Select “Account to transfer to” as “Savings”
# Enter any amount to transfer

*Expected outcome:*

System verifies and transfers the money

*Actual outcome:*

Invalid ‘to’ account type

*Priority of the bug:*

Medium

*Version of the app:*

1.0



!image-20260126-034045.png|width=406,alt=""image-20260126-034045.png""!",,Thanoshan MV,,6003fc78c22477006872ac2b,,,,,,,,,,25/Jan/26 8:42 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260126-034045.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10003,,,,,,,,,,,,,0|i0001r:,,,,,29/Jan/26 7:21 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,29/Jan/26 7:21 PM
"Withdrawal: after some withdrawals, the withdraw function is not working anymore",CRM-20,10051,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,High,Done,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,25/Jan/26 8:19 PM,29/Jan/26 7:19 PM,06/Feb/26 12:22 PM,29/Jan/26 7:19 PM,,0,"*Function being tested:*

Withdraw

System verifies that it has sufficient cash on hand to fulfill the request upon user request

*Initial state of the system:*

ATM is ON

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 2 and enter the PIN as 1234
# Withdraw money continuously 3-4 times
# Now, try again the withdraw. Even though the amount is less than account amount and less than the system amount, it says insufficient cash available 

*Expected outcome:*

Cash withdrawn

*Actual outcome:*

“insufficient cash available”

*Priority of the bug:*

High

*Version of the app:*

1.0

!image-20260126-032214.png|width=472,alt=""image-20260126-032214.png""!

!image-20260126-032730.png|width=658,alt=""image-20260126-032730.png""!",,Thanoshan MV,,6003fc78c22477006872ac2b,,,,,,,,,,25/Jan/26 8:27 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260126-032214.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10002,25/Jan/26 8:27 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260126-032730.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10001,29/Jan/26 7:19 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260130-021932.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10144,,,,,,,,,,,0|i0001j:,,,,,"29/Jan/26 7:19 PM;6003fc78c22477006872ac2b;Defect still exists in version 1.1

!image-20260130-021932.png|width=618,alt=""image-20260130-021932.png""!",,,,,Done,29/Jan/26 7:19 PM
Withdrawal: Incorrect money is withdrawn ,CRM-19,10050,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Highest,Done,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,25/Jan/26 8:10 PM,29/Jan/26 7:18 PM,29/Jan/26 12:33 PM,29/Jan/26 7:18 PM,,0,"*Function being tested:*

System performs a legitimate withdrawal transaction properly

*Initial state of the system:*

ATM is ON

System is displaying the menu of withdrawal amounts

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 2 and enter the PIN as 1234 
# Go to “Withdrawal”
# Go to “Checking”
# Select $20 or $40 or $60

*Expected outcome:*

If $20 → $20

If $40 → $60

If $60 → $100

If $200 → $200

*Actual outcome:*

If $20 → $40

If $40 → $60

If $60 → $100

If $200 → $20



*Priority of the bug:*

Highest

*Version of the app:*

1.0



!image-20260126-031041.png|width=241,alt=""image-20260126-031041.png""!",,Thanoshan MV,,6003fc78c22477006872ac2b,,,,,,,,,,25/Jan/26 8:16 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260126-031041.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10000,,,,,,,,,,,,,0|i0001b:,,,,,29/Jan/26 7:18 PM;6003fc78c22477006872ac2b;Regression testing: defect resolved in version 1.1,,,,,Done,29/Jan/26 7:18 PM
Inquiry: Unknown error for money market,CRM-18,10049,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,High,Done,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,Thanoshan MV,6003fc78c22477006872ac2b,25/Jan/26 8:01 PM,29/Jan/26 7:12 PM,29/Jan/26 12:40 PM,29/Jan/26 7:12 PM,,0,"*Function being tested:*

Balance inquiry

System performs a legitimate balance inquiry for money market

*Initial state of the system:*

The ATM is ON

System is displaying menu of account types to inquire from

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42
# Go Balance Inquiry
# Select Money Market

*Expected outcome:*

Shows information about balance inquiry

*Actual outcome:*

Message shows “Unknown Error” as reported in the screenshot

*Priority of the bug:*

High

*Version of the app:*

1.0

!image-20260128-022345.png|width=658,alt=""image-20260128-022345.png""!

!image-20260128-022357.png|width=658,alt=""image-20260128-022357.png""!",,Thanoshan MV,,6003fc78c22477006872ac2b,,,,,,,,,,27/Jan/26 7:27 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260128-022345.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10074,27/Jan/26 7:27 PM;ug:2e0716f7-d122-4a27-8105-b0f31a935d10;image-20260128-022357.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10073,,,,,,,,,,,,0|i00013:,,,,,29/Jan/26 7:12 PM;6003fc78c22477006872ac2b;Regression testing: defect resolved in version 1.1,,,,,Done,29/Jan/26 7:12 PM
Withdrawal: $60 withdrawal option missing dollar sign,CRM-49,10176,Bug,Open,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,,Zohara Kamal,608be8ab33d52500693e0658,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,28/Jan/26 10:14 PM,29/Jan/26 4:12 PM,06/Feb/26 10:44 AM,,,0,"*MFT*

*Function being tested:*

$60 withdrawal option missing dollar sign

Withdrawal

*Initial state of the system:*

Menu of account types is being displayed once Withdrawal is selected from main menu

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42
# Choose Withdrawal
# Choose Checking

*Expected outcome:*

All amount options have dollar signs to the left of amount value

*Actual outcome:*

Only 60 doesn’t have a dollar sign to the left of the value

*Priority of the bug:*

Low

*Version of the app:*

1.1

!image-20260129-051743.png|width=737,alt=""image-20260129-051743.png""!",,Minh Le,,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,,,,,,,,,,28/Jan/26 10:18 PM;bfb075ec-10e9-4ed5-8a3e-5271c35ff79d;image-20260129-051743.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10107,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,To Do,28/Jan/26 10:14 PM
Deposit: Deposit transaction with wrong receipt,CRM-41,10104,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Highest,Done,Zohara Kamal,608be8ab33d52500693e0658,Zohara Kamal,608be8ab33d52500693e0658,Zohara Kamal,608be8ab33d52500693e0658,26/Jan/26 5:51 PM,06/Feb/26 10:44 AM,06/Feb/26 10:45 AM,06/Feb/26 10:44 AM,,0,"MFT

*Function being tested:*

Deposit

System performs a legitimate deposit transaction properly

*Initial state of the system:*

System is requesting that customer insert an envelope

*Steps to reproduce:*

# Open the ATM 
# Insert card 1, and put the PIN number 42
# Choose Deposite then choose Checking acocunt
# Insert any number 100
# $90 got reflected in both checking and money market accounts

*Expected outcome:*

System accepts envelope; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing message to the bank, approval back, and acceptance of the envelope)

*Actual outcome:*

The total balance and the available balance is not same.

$100 inserted but only $90 got reflected in both checking and money market accounts

*Priority of the bug:*

Highest

*Version of the app:*

1.0",,Zohara Kamal,,608be8ab33d52500693e0658,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,29/Jan/26 12:02 PM;608be8ab33d52500693e0658;Available balance and total balance are different. Available balance is not updated ,,,,,Done,06/Feb/26 10:44 AM
"Typo ""Wood"" in message",CRM-39,10102,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Zohara Kamal,608be8ab33d52500693e0658,Zohara Kamal,608be8ab33d52500693e0658,Zohara Kamal,608be8ab33d52500693e0658,26/Jan/26 5:23 PM,29/Jan/26 11:42 AM,,29/Jan/26 11:42 AM,,0,"*Function being tested:*

Session

After completing any transaction, the ATM prompts the user with a message “Wood you like to do another transaction”; in this message, “Wood” is supposed to be spelled “Would”.

*Initial state of the system:*

System completes any transaction successfully.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills

# Insert card 2 and enter the PIN as 1234

# Choose transaction type as Balance Inquiry

# Choose account as Checking (Misspelled word would show after action is completed)



*Expected outcome:*

ATM displays “Would you like to do another transaction?

*Actual outcome:*

ATM shows “Wood you like to do another transactio”.

*Priority of the bug:*

 Medium

*Version of the app:*

1.0",,Zohara Kamal,,608be8ab33d52500693e0658,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,Done,29/Jan/26 11:42 AM
